MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo
212346000,2017-12-12T00:00:01,46.09904,-122.93935,0.0,108.4,107.0,AFROESSA,IMO9666522,5BZH3,1004,5,224.98,32.26,,
367317850,2017-12-12T00:00:01,29.73790,-95.12148,0.1,116.7,511.0,JOHN C.LAQUAY,,WDD9903,33,15,45,12,0.0,33
367345040,2017-12-12T00:00:00,29.05824,-90.82458,20.4,63.0,511.0,SUN FIGHTER,,WYB6722,1012,0,18.68,5.2,,
367645460,2017-12-12T00:00:02,40.36893,-91.43299,7.2,235.9,238.0,STEPHEN L COLBY,,WDH7165,1025,9,43.89,12.2,,
366990570,2017-12-12T00:00:02,41.50086,-73.99915,8.8,254.2,511.0,CAPT MARK SUMMERS,,WDC2283,1012,0,18.9,6.1,,
366947000,2017-12-12T00:00:01,47.62923,-122.38216,0.0,208.9,183.0,NORTHERN GLACIER,IMO8225101,WRC6707,1001,7,61.27,13.72,,
367649420,2017-12-12T00:00:03,41.50887,-88.09691,0.0,7.8,511.0,DAVID E,,WDH7570,1025,0,28.99,,,
367622240,2017-12-12T00:00:03,29.74187,-84.99747,0.0,264.9,511.0,CREEK,,WDH4870,1025,15,24.54,9.1,,
367168450,2017-12-12T00:00:03,27.80617,-96.96572,22.9,348.7,343.0,ARANSAS PILOT II,,WDD6111,1005,5,15.85,5.1,,
367314380,2017-12-12T00:00:03,29.94920,-90.30320,4.1,36.3,511.0,HAROLD ANCAR,,WDD9645,1025,15,19.72,7.3,,
367707930,2017-12-12T00:00:02,40.64143,-74.12957,0.0,138.1,286.0,JONATHAN C MORAN,IMO9799288,WDI5374,1025,0,27.04,,,
367589210,2017-12-12T00:00:04,32.82523,-79.93310,0.0,29.5,511.0,GALE,,WDG9578,1025,5,19.96,7.9,,
311000112,2017-12-12T00:00:04,33.27050,-121.00217,7.3,290.0,295.0,POLARIS VOYAGER,IMO9665748,C6AP4,1024,0,275.6,48,,
366904940,2017-12-12T00:00:05,46.80270,-92.02262,13.0,242.7,242.0,PAUL R TREGURTHA,IMO7729057,WYR4481,1004,0,308.77,32.16,,
367627450,2017-12-12T00:00:04,25.78050,-80.18050,0.0,134.8,511.0,GEORGE T MORAN,IMO9764116,WDH5386,1025,0,28.18,11.51,,
367477330,2017-12-12T00:00:06,21.31528,-157.87883,1.8,272.0,511.0,VAK 3,,WDF6735,1001,,20.12,6.7,,
366977380,2017-12-12T00:00:06,33.57887,-117.87764,0.9,120.2,511.0,FREELANCE,,WSP9410,1012,0,21.67,,,
367003460,2017-12-12T00:00:07,30.36526,-88.56593,1.8,79.8,511.0,JOCK,,WDF2423,1025,0,26.24,9.1,,
367742790,2017-12-12T00:00:07,33.74923,-118.11515,0.0,74.8,511.0,GOOD KARMA,,WDI8854,1019,,,,,
316014803,2017-12-12T00:00:08,48.98200,-126.20705,8.4,96.3,100.0,NORDIC PEARL,IMO8825896,CFK9324,1001,7,29.9,9.2,,
367020610,2017-12-12T00:00:11,35.10147,-75.56722,7.3,227.0,511.0,PACIFICS,IMO8938693,WDC4193,1001,,22.46,6.71,,
367197320,2017-12-12T00:00:11,24.83645,-81.90921,3.2,189.8,511.0,MISS THERESA,IMO8958540,WDD8289,1001,,29.87,7.62,,
367603360,2017-12-12T00:00:12,28.38955,-80.66702,0.0,286.8,511.0,JOHN WILLIAM,,WDH3007,1019,,11.28,,,
367003870,2017-12-12T00:00:10,30.30460,-91.61786,5.5,146.1,511.0,RYAN,IMO8976592,WDF2431,1025,12,26.24,9.14,,
367402670,2017-12-12T00:00:09,43.33600,-124.32036,0.0,0.0,511.0,DAY STAR,,WDE8198,1001,0,18.47,6.5,,
367761740,2017-12-12T00:00:00,29.73958,-95.11902,0.0,360.0,511.0,GENERAL PATTON,,WDJ2788,1003,15,,,,
477524900,2017-12-12T00:00:00,41.49744,-71.34888,11.9,358.0,357.0,ZHEN ZHU HAI,IMO9738088,VROT8,1004,0,179.98,,,
366985270,2017-12-12T00:00:01,37.81336,-122.40729,12.6,119.7,124.0,HARBOR EMPEROR,,WCY6430,1012,0,25.3,9.8,,
367530080,2017-12-12T00:00:01,45.60085,-122.77726,1.0,92.4,511.0,SOMMER S,IMO9669811,WDG3830,1025,0,23.62,10.97,,
374275000,2017-12-12T00:00:02,37.33310,-76.10506,14.8,9.0,10.0,IYO SEA,IMO9722455,3FAO8,1004,0,179.97,,,
367558410,2017-12-12T00:00:00,29.75866,-94.05904,5.1,50.5,50.0,ERIN C GRENON,,WDG6570,1025,0,23.16,,,
367578550,2017-12-12T00:00:00,33.97879,-119.61944,8.8,286.2,511.0,FERRIGNO BOY,IMO7940376,WDG8537,1001,,21.19,7.19,,
367780640,2017-12-12T00:00:00,29.72200,-94.11177,6.8,55.0,51.0,LENNY J,,WDJ4738,1025,15,22.71,8.2,,
367762080,2017-12-12T00:00:01,32.85453,-79.95273,0.0,330.2,237.0,JEFFREY MCALLISTER,IMO9813606,WDJ2825,1025,0,,,,
367604120,2017-12-12T00:00:00,29.92484,-90.20134,6.0,248.5,76.0,EUGENIE CENAC,,WDH3084,1025,0,23.56,,,
367148870,2017-12-12T00:00:01,39.94162,-75.14094,0.0,0.0,511.0,FREEDOM ELITE,,WDD4775,1012,15,24.63,6.1,,
311805000,2017-12-12T00:00:02,24.39707,-81.84591,10.6,221.8,220.0,RHAPSODY OF THE SEAS,IMO9116864,C6UA2,1012,0,278.94,35.64,,
367333770,2017-12-12T00:00:02,40.44465,-80.02653,0.0,336.9,114.0,EVAN MICHAEL MURRAY,,WDH3369,1025,15,23.84,8,,
